"Localidad";"Tipo_gas";"Descripcion";"fecha";"valor";"anio";"mes"
"Rio Grande";"Gas de red";"Promedio de usuarios";1998-01-01;13184;1998;1
"Rio Grande";"Gas de red";"M3";1998-01-01;10100000;1998;1
"Rio Grande";"Gas envasado";"Cantidad de garrafas (10 kg.)";1998-01-01;131;1998;1
"Rio Grande";"Gas envasado";"Cantidad de garrafas (15 kg.)";1998-01-01;-9;1998;1
"Rio Grande";"Gas envasado";"Cantidad de cilindros (30 kg.)";1998-01-01;-9;1998;1
"Rio Grande";"Gas envasado";"Cantidad de cilindros (45 kg.)";1998-01-01;328;1998;1
"Rio Grande";"Gas envasado";"Granel (kg.)";1998-01-01;-9;1998;1
"Ushuaia";"Gas de red";"Promedio de usuarios";1998-01-01;11543;1998;1
"Ushuaia";"Gas de red";"M3";1998-01-01;5681505;1998;1
"Ushuaia";"Gas envasado";"Cantidad de garrafas (10 kg.)";1998-01-01;3223;1998;1
"Ushuaia";"Gas envasado";"Cantidad de garrafas (15 kg.)";1998-01-01;-9;1998;1
"Ushuaia";"Gas envasado";"Cantidad de cilindros (30 kg.)";1998-01-01;-9;1998;1
"Ushuaia";"Gas envasado";"Cantidad de cilindros (45 kg.)";1998-01-01;790;1998;1
"Ushuaia";"Gas envasado";"Granel (kg.)";1998-01-01;-9;1998;1
"Tolhuin";"Gas de red";"Promedio de usuarios";1998-01-01;290;1998;1
"Tolhuin";"Gas de red";"M3";1998-01-01;180000;1998;1
"Rio Grande";"Gas de red";"Promedio de usuarios";1998-02-01;13210;1998;2
"Rio Grande";"Gas de red";"M3";1998-02-01;8500000;1998;2
"Rio Grande";"Gas envasado";"Cantidad de garrafas (10 kg.)";1998-02-01;159;1998;2
"Rio Grande";"Gas envasado";"Cantidad de garrafas (15 kg.)";1998-02-01;-9;1998;2
"Rio Grande";"Gas envasado";"Cantidad de cilindros (30 kg.)";1998-02-01;-9;1998;2
"Rio Grande";"Gas envasado";"Cantidad de cilindros (45 kg.)";1998-02-01;195;1998;2
"Rio Grande";"Gas envasado";"Granel (kg.)";1998-02-01;-9;1998;2
"Ushuaia";"Gas de red";"Promedio de usuarios";1998-02-01;11542;1998;2
"Ushuaia";"Gas de red";"M3";1998-02-01;5445851;1998;2
"Ushuaia";"Gas envasado";"Cantidad de garrafas (10 kg.)";1998-02-01;3297;1998;2
"Ushuaia";"Gas envasado";"Cantidad de garrafas (15 kg.)";1998-02-01;-9;1998;2
"Ushuaia";"Gas envasado";"Cantidad de cilindros (30 kg.)";1998-02-01;-9;1998;2
"Ushuaia";"Gas envasado";"Cantidad de cilindros (45 kg.)";1998-02-01;812;1998;2
"Ushuaia";"Gas envasado";"Granel (kg.)";1998-02-01;-9;1998;2
"Tolhuin";"Gas de red";"Promedio de usuarios";1998-02-01;290;1998;2
"Tolhuin";"Gas de red";"M3";1998-02-01;170000;1998;2
"Rio Grande";"Gas de red";"Promedio de usuarios";1998-03-01;13235;1998;3
"Rio Grande";"Gas de red";"M3";1998-03-01;11500000;1998;3
"Rio Grande";"Gas envasado";"Cantidad de garrafas (10 kg.)";1998-03-01;129;1998;3
"Rio Grande";"Gas envasado";"Cantidad de garrafas (15 kg.)";1998-03-01;-9;1998;3
"Rio Grande";"Gas envasado";"Cantidad de cilindros (30 kg.)";1998-03-01;-9;1998;3
"Rio Grande";"Gas envasado";"Cantidad de cilindros (45 kg.)";1998-03-01;296;1998;3
"Rio Grande";"Gas envasado";"Granel (kg.)";1998-03-01;-9;1998;3
"Ushuaia";"Gas de red";"Promedio de usuarios";1998-03-01;11546;1998;3
"Ushuaia";"Gas de red";"M3";1998-03-01;6828988;1998;3
"Ushuaia";"Gas envasado";"Cantidad de garrafas (10 kg.)";1998-03-01;4380;1998;3
"Ushuaia";"Gas envasado";"Cantidad de garrafas (15 kg.)";1998-03-01;-9;1998;3
"Ushuaia";"Gas envasado";"Cantidad de cilindros (30 kg.)";1998-03-01;-9;1998;3
"Ushuaia";"Gas envasado";"Cantidad de cilindros (45 kg.)";1998-03-01;947;1998;3
"Ushuaia";"Gas envasado";"Granel (kg.)";1998-03-01;-9;1998;3
"Tolhuin";"Gas de red";"Promedio de usuarios";1998-03-01;295;1998;3
"Tolhuin";"Gas de red";"M3";1998-03-01;220000;1998;3
"Rio Grande";"Gas de red";"Promedio de usuarios";1998-04-01;13255;1998;4
"Rio Grande";"Gas de red";"M3";1998-04-01;1,3e+07;1998;4
"Rio Grande";"Gas envasado";"Cantidad de garrafas (10 kg.)";1998-04-01;229;1998;4
"Rio Grande";"Gas envasado";"Cantidad de garrafas (15 kg.)";1998-04-01;-9;1998;4
